YardiResidentDto,YardiResidentDto.PropertyId,YardiResidentDto.UnitCode,YardiResidentDto.ResidentNum,YardiResidentDto.PrimaryResidentNumber,YardiResidentDto.FirstName,YardiResidentDto.LastName,YardiResidentDto.Email,YardiResidentDto.CellPhone,YardiResidentDto.HomePhone,YardiResidentDto.OfficePhone,YardiResidentDto.Mobile1,YardiResidentDto.Mobile2,YardiResidentDto.Status,YardiResidentDto.LeaseFromDate,YardiResidentDto.LeaseToDate,YardiResidentDto.MoveInDate,YardiResidentDto.MoveOutDate,YardiResidentDto.NoticeDate,YardiResidentDto.AvailableDate
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,101,t0120368,t0120368,Test,UnitTrasnfer,"","","",1234561646,"","",Future,8/14/2024,8/13/2025,8/14/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,103,t0129168,t0129168,360kim,handsome,berlynchi@mail.com,"","","","","",Current,11/26/2024,11/25/2025,11/28/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,t0129140,t0129140,"kim yardi","360 test 2","","","","","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070762,t0129140,Edward,Kensington,"",1234567890,"","","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070763,t0129140,Home,8,"","",3333333333,"","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070764,t0129140,5,Office,"","","",2222222222,"","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070765,t0129140,Empty,6,"","","","","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070766,t0129140,4,Mobile+Home,"",2222222222,3333333333,"","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070767,t0129140,1,All,"",3333333333,2222222222,1111111111,"","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070768,t0129140,2,Home+Office,"","",3333333333,2222222222,"","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,104,r0070769,t0129140,3,Mobile+Office,"",3333333333,"",4444444444,"","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,105,t0129120,t0129120,Chiara,Moyer,chiarathebaddest@email.com,9999999999,9999999999,9999999999,"","",Future,2/10/2025,2/9/2026,2/10/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,106,t0126860,t0126860,"the prime2",Jum,"","","","","","",Current,11/2/2024,11/1/2025,11/2/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,106,r0069394,t0126860,1roommatea,1,"",7777777777,9999999999,"","","",Current,11/2/2024,11/1/2025,11/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,106,r0069879,t0126860,2roomamteb,2,testi8nggdhsoid@mail.com,"","",3333333333,"","",Current,11/2/2024,11/1/2025,11/2/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,106,r0069880,t0126860,3roommatec,3,"","",9999999999,"","","",Current,11/2/2024,11/1/2025,11/2/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,106,r0069881,t0126860,4roomamted,4,"",7777777777,"",3333333333,"","",Current,11/2/2024,11/1/2025,11/2/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,106,r0069885,t0126860,5roommatee,5,roommate2511202@mail.com,"",9999999999,3333333333,"","",Current,11/2/2024,11/1/2025,11/2/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,107,t0081150,t0081150,Kevin,Edwards,kevin.e@gmail.zzz,"","","","","",Current,1/1/2019,12/31/2019,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,107,r0050687,t0081150,Jose,Reed,jose.r@gmail.zzz,7777777777,9999999999,3333333333,"","",Current,1/1/2019,12/31/2019,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,107,r0069066,t0081150,newr,roomate,"","",1212121212,"","","",Current,1/1/2019,12/31/2019,10/1/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,107,r0070214,t0081150,Lydia,Rose,"","","","","","",Current,1/1/2019,12/31/2019,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,107,r0070223,t0081150,Dynia,Roze,"","","","","","",Current,1/1/2019,12/31/2019,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1101,t0135094,t0135094,yoyao,Jum,"","","","","","",Future,1/16/2025,1/31/2025,1/16/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1103,t0081123,t0081123,Shawn,Masters,"","","","","","",Future,2/8/2024,2/7/2025,2/9/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1104,t0126429,t0126429,Chocolate,Chi,"","","","","","",Future,12/24/2024,12/23/2025,11/28/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1105,t0129876,t0129876,Jolone,Jum,delijum12@gmail.com,"","","","","",Future,1/21/2025,1/20/2026,1/21/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1105,r0069899,t0129876,Stelly,jum,helloeiijsd@mail.com,7777777777,"","","","",Future,1/21/2025,1/20/2026,1/21/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1106,t0111890,t0111890,Wes,Damonn,damon@emailexample.com,"","","","","",Future,3/28/2024,3/27/2025,3/28/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,111,t0111004,t0111004,David,Lim,david@gmail.com,"","",5555551234,"","",Future,3/28/2024,3/27/2025,3/28/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1110,t0129497,t0129497,Katrina,Hamilton,kat.hamilton_94@wmail.com,2175554832,2175554832,2175554832,"","",Current,11/26/2024,11/25/2025,11/26/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1110,r0069850,t0129497,Marley,Meyer,marley.meyerzone@wmail.com,6155554850,6155554850,6155554850,"","",Current,11/26/2024,11/25/2025,11/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,1110,r0069859,t0129497,Harris,Hatfield,"",9195551824,9195551824,9195551824,"","",Current,11/26/2024,11/25/2025,11/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,112,t0129141,t0129141,Felicity,Saunders,felicity.saunders74@wmail.com,9999999999,9999999999,9999999999,"","",Current,10/16/2024,10/15/2025,10/16/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,112,r0069735,t0129141,"Roommate test",Jum,roomamte124@mail.com,"","","","","",Current,10/16/2024,10/15/2025,10/16/2024,11/20/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,113,t0112115,t0112115,mengyue,TestEditted,hello@hello.abc,3333333333,2222222222,1234567890,"","",Current,9/22/2024,9/21/2025,9/22/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,114,t0134473,t0134473,Rayne,Jum,tzejum2@gmail.com,"","","","","",Current,1/16/2025,1/15/2026,1/15/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,114,r0071209,t0134473,Julie,Carl,juliecarl@mail.com,"","","","","",Current,1/16/2025,1/15/2026,1/15/2025,1/14/2025,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,114,r0071210,t0134473,julie2,carl2,juliecarl@mail.com,"","","","","",Current,1/16/2025,1/15/2026,1/15/2025,1/14/2025,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,114,r0071211,t0134473,Julie3,jum3,juliecarl@mail.com,"","","","","",Current,1/16/2025,1/15/2026,1/15/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,114,r0071292,t0134473,nick,jum,tzejum2@gmail.com,"","","","","",Current,1/16/2025,1/15/2026,1/15/2025,"","",""
